,Title,Author,Story Summary,chapter Amount
0,Hololive Oneshots,Marche_Mapler," Oneshots based on Hololive characters (specifically the CHARACTERS, not the people behind them. I know on-stream interactions are a bit of a grey area in that regard, but if I can help it I won't reference anything that's clearly specific to the person behind the screen). I'm not the best writer, but these stories won't exist if I don't at least try, so that's what I'm doing. Hope you enjoy! There may or may not be future chapters, and chapters may or may not connect to each other. If they do, I'll try to make that clear in chapter notes. If not, apologies for letting story ideas die inside my brain.    ",1
1,Hololive-Hololove!,A3L," This is a story about all the Hololive (or almost)! It tells about their lives, their friendships, but above all of their loves! It will not be set in any fantasy world, it will simply deal with their lives and the evolution of love in each of them! Happy reading!  P.S.(I'm not very good with English, but I tried to do my best, thanks for the understanding).    ",4
2,Hololive: Reflection,JowaPlays," *ON HIATUS*Fate, the ability to change the future, and the ability to alter the past. Are these things possible? Are they nothing more than hopeful pipe dreams? Maybe they're neither? Or maybe they're both?Upon waking up in a twisted world teeming with terrifying monsters known as Malice and meeting a strange boy named Tamashi, 18-year old NEET Ito Nozomi finds himself saving Hololive members, defeating horrible beasts, and developing relationships, all while discovering the true nature of the strange world he woke up in and uncovering a mysterious organization's odd motives.Tags will be added as characters appear and relationships develop. Will be aiming for daily updates! Story is being worked on as I go along.    ",31
3,Hololive Drabbles,Cosmotion (Essummerbummer225), A collection of various Hololive short stories. Will be mostly Amesame-centered. Rating may change for later drabbles and will be listed in the author's notes if it does change.Chapter 1: Amelia settles down in her office for another day of paperwork and bills but she does not anticipate an uninvited guest lurking just beneath her desk.    ,2
4,Hololive oneshots,Clairclaymorebrandname, A series of hololive one shots and maybe one day others.    ,1
5,Hololive DDD,viedogaems," A series of short stories set to be released in the month of December, where the topic of each story is pre-determined by users of a certain Hololive fan group who were led to believe DDD stood for ""Destroy Dick December"".    ",31
6,Hololive Holiday,GrandLeviathan," Hawaii was a lovely place at the height of summer. Beaches, pools, shopping malls... plenty of places for them to visit, and plenty of places to indulge - in more ways than one.    ",2
7,Hololive Resort,PunishedVarmint," After performing the concert of a lifetime, all the Hololive talents are sent off to relax at a tropical beach resort. But there's more fun to be had than just building sandcastles.    ",2
8,Hololive Initiative,Meephisto_Neero, ,7
9,Pekora ends Hololive,HikariiAi," One day, Usada Pekora goes seemingly insane.She starts trying to kill every Hololive member, one by one.Can anyone stand up to the ruthless war criminal?    ",3
10,Hololive Smut Anthology,Mangolin, An ongoing series of self-insert smut scenes featuring the stars of Hololive.    ,1
11,Hololive Oneshots Collection,13MON," A collection of Hololive related Oneshots!My original fic was deleted, but luckily I have saved every fic! if you want, follow me on twitter: @13MON4    ",34
12,Horny Hololive Smut,TangerineSunrise," Hololive smut, that's it.    ",11
13,Hololive oneshots / Ficlets,NoCake, Decided to place the one-shots/ficlets into one work from now on - the ones already posted will stay put where they are. ¯\_(ツ)_/¯Here's to the new year. The number of words can vary from chapter to chapter.    ,38
